Product Name,Product URL,Product Price,Rating,Review Count,Description,ASIN,Product Description,Manufacturer
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8,₹398,4.1,"9,319","Made of multi-coated 600D polyester Material ; Water Repellent      Dimension: 26cm x 38cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters      Small Size backpack; Laptop Compatibility: No      This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more      With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books      6 months limited warranty       
 ›   See more product details",N/A,N/A,Brand: MI
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4,₹849,3.9,"3,066",N/A,N/A,N/A,N/A
"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)",https://www.amazon.in/TRUE-Emperor-Anti-Theft-backpack-charging/dp/B0BYB631NR,₹689,3.6,130,N/A,N/A,N/A,N/A
POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,https://www.amazon.in/Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN,"₹1,399",4.1,"5,656",N/A,N/A,N/A,N/A
ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,https://www.amazon.in/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXL986B,₹499,4.0,"3,975",N/A,N/A,N/A,N/A
F Gear Luxur Brown 25 liter Laptop Backpack (2404),https://www.amazon.in/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA,"₹1,099",4.4,"16,897",N/A,N/A,N/A,N/A
"FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Dark Grey,Oxford Fabric)",https://www.amazon.in/FATMUG-Laptop-Bag-Men-Convertible/dp/B084LF4RT5,"₹1,599",4.4,"2,077",N/A,N/A,N/A,N/A
"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV,₹550,4.3,"11,534",N/A,N/A,N/A,N/A
FUR JADEN Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port For Men Women Boys Girls,https://www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY,₹839,4.0,"13,803",N/A,N/A,N/A,N/A
"Safari Spartan 21 Ltrs Water Resistant Backpack - Teal, S (SPARTAN19CBTEA)",https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B277CR5,₹599,3.8,848,N/A,N/A,N/A,N/A
Northzone Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office (Black) 40L,https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3TVDK6,₹426,3.9,100,N/A,N/A,N/A,N/A
NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit,https://www.amazon.in/Nivia-5183-Polyester-Duffle-Medium/dp/B071KNXQ7Y,₹489,4.2,"3,403",N/A,N/A,N/A,N/A
Fur Jaden Hiking Camping Rucksack Casual 10 Ltrs Blue Casual Backpack,https://www.amazon.in/Fur-Jaden-Rucksack-Backpack-BM43_Blue/dp/B07PS38XSP,₹239,3.6,"7,886",N/A,N/A,N/A,N/A
Gear Casual Backpack,https://www.amazon.in/Gear-Black-Casual-Backpack-MDBKPECO50104/dp/B0757MBSS6,₹399,3.8,"2,196",N/A,N/A,N/A,N/A
"Safari Sneak Casual Backpack with USB Charging Port 26 Ltrs Water Resistant Fabric - Grey, L (SNEAK19CBGRE)",https://www.amazon.in/Safari-Casual-Backpack-Charging-Resistant/dp/B09B2581S9,₹949,3.8,997,N/A,N/A,N/A,N/A
LOOKMUSTER Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack…,https://www.amazon.in/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BS6YGKMC,₹499,3.9,31,N/A,N/A,N/A,N/A
Arctic Fox Slope Anti Theft 23 L Backpack with USB Charging Port 15 Inch Laptop Backpack (Marble Black),https://www.amazon.in/Arctic-Fox-Backpack-Charging-Laptop/dp/B089QB6D7B,"₹1,445",4.5,"3,954",N/A,N/A,N/A,N/A
"DYAZO Water Resistant Camera Bag/Case Shoulder Strap Space for Photography Lens and Accessories Compatible for Nikon, Canon, Sony, Panasonic, Samsung & Other SLR/DSLR etc (Black & Silver)",https://www.amazon.in/gp/bestsellers/electronics/1389022031/ref=sr_bs_1_1389022031_1,₹805,4.4,303,N/A,N/A,N/A,N/A
"TRAWOC 60 Ltr Trekking Rucksack Travel Bag Hiking Backback, 1 Year Warranty, HK001",https://www.amazon.in/NOVICZ-HK001-TRAWOC-SKYBLUE-Blue-Rucksack/dp/B079N6KHPJ,"₹1,595",4.3,"3,866",N/A,N/A,N/A,N/A
Asus ROG BP1501 39.62 cm (15.6-inch) Gaming Laptop Backpack (Black),https://www.amazon.in/BP1501-15-6-inch-Gaming-Laptop-Backpack/dp/B081RLHHCY,"₹1,499",4.3,951,N/A,N/A,N/A,N/A
COSMUS Darwin Navy Blue Laptop Backpack for (15.6 inch),https://www.amazon.in/COSMUS-Polyester-Navy-Laptop-Backpack/dp/B01FVQLLU0,"₹1,333",4.3,"10,018",N/A,N/A,N/A,N/A
ADISA Women Girls Floral Print Sling Bag,https://www.amazon.in/ADISA-Women-Girls-Floral-SL5072-CRE_Cream/dp/B09B56BCXR,₹469,4.2,"1,158",N/A,N/A,N/A,N/A
Wildcraft 29.5 Ltrs Green Casual Backpack (11650-Green),https://www.amazon.in/Wildcraft-Green-Casual-Backpack-11650-Green/dp/B079DV66TY,"₹1,045",4.1,382,N/A,N/A,N/A,N/A
Puma Unisex Gym Bag IND,https://www.amazon.in/PUMA-Gym-Bag-IND-Fig-CASTLEROCK/dp/B089T98TKG,₹619,4.0,460,N/A,N/A,N/A,N/A
